PONDERADOR	A1_COD	D1	D2_COD	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	SEXO	E2	E3	E4	E5	PROV	CANT_COD	F1	F2	F3	F4	F5	F6	F7	G1	G2	G3	G4	G5_COD	G6	G7	G8	G9	G10_COD	G11_COD	edadgrupo	educagrupo
,608	3	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	1	27	1	5	3	1	1-13 TIBAS	2	1	2	1	2	2	2	1	5	2	1	99999	99999	2	2	1	6	99999	1	3
,881	3	1	99999	2	1	1	1	2	2	99999	99999	99999	5	1	32	1	3	1	1	1-09 SANTA ANA	2	1	1	1	2	2	2	1	6	2	1	99999	99999	2	2	1	6	99999	2	2
,424	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	38	1	5	1	1	1-09 SANTA ANA	1	1	1	1	1	1	1	2	99999	99999	99999	99999	99999	1	1	1	6	99999	2	3
,389	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	39	1	5	1	4	4-03 SANTO DOMINGO	2	1	1	1	1	1	2	1	4	1	99999	99999	99999	2	2	1	6	99999	2	3
2,438	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	24	1	4	1	1	1-03 DESAMPARADOS	2	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	6	99999	1	2
,505	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	28	1	5	1	3	3-02 PARAISO	2	1	1	2	2	2	1	1	4	1	99999	99999	99999	2	2	1	6	99999	1	3
,389	9	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	33	1	5	6	3	3-08 EL GUARCO	2	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	6	99999	2	3
,424	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	35	1	5	1	1	1-14 MORAVIA	2	1	1	1	1	1	1	1	4	1	99999	99999	99999	1	1	2	6	99999	2	3
2,438	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	26	1	3	6	1	1-12 ACOSTA	2	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	6	99999	1	2
1,079	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	43	1	4	3	3	3-03 LA UNION	2	1	1	2	1	2	1	1	3	1	99999	99999	99999	2	2	1	6	99999	2	2
,424	9	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	31	1	5	2	6	6-01 PUNTARENAS	1	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	1	2	9	6	99999	2	3
,505	3	1	99999	2	1	1	2	2	2	99999	99999	99999	4	2	27	1	5	1	7	7-02 POCOCI	2	1	2	1	2	2	1	1	4	2	2	6	99999	1	1	1	6	99999	1	3
,393	3	1	99999	2	1	1	2	2	2	99999	99999	99999	4	2	55	1	5	1	5	5-03 SANTA CRUZ	2	1	2	2	2	2	1	1	5	2	1	99999	99999	1	1	2	6	99999	3	3
1,643	3	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	2	63	1	2	4	1	1-02 ESCAZU	1	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	6	99999	3	1
,399	2	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	55	1	5	1	3	3-02 PARAISO	1	1	1	1	1	1	1	99999	3	2	1	99999	99999	1	1	1	6	99999	3	3
1,821	6	1	99999	1	1	1	2	1	1	2	1	99999	5	2	47	1	2	4	3	3-04 JIMENEZ	2	1	2	2	2	2	2	1	4	1	99999	99999	99999	2	2	1	6	99999	2	1
1,593	3	1	99999	2	1	2	2	1	1	1	1	2	2	1	21	1	3	2	2	2-05 ATENAS	2	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	6	99999	1	2
,393	3	2	7	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	51	1	5	1	1	1-13 TIBAS	2	1	1	1	1	1	1	1	1	1	99999	99999	99999	1	1	1	6	99999	3	3
1,079	2	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	2	41	1	4	3	4	4-02 BARVA	1	1	1	1	1	2	2	1	1	2	1	99999	99999	1	1	1	6	99999	2	2
,424	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	41	1	5	3	2	2-08 POAS	1	1	9	9	9	9	9	1	4	1	99999	99999	99999	1	1	1	6	99999	2	3
,505	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	2	26	1	5	1	2	2-08 POAS	2	1	2	1	2	2	1	1	5	1	99999	99999	99999	1	2	1	6	99999	1	3
,399	4	1	99999	2	1	1	2	2	2	99999	99999	99999	2	1	52	1	5	1	1	1-01 SAN JOSE	2	1	2	2	2	2	1	1	5	1	99999	99999	99999	2	1	1	6	99999	3	3
,505	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	26	1	5	1	4	4-07 BELEN	2	1	2	1	2	2	2	2	99999	99999	99999	99999	99999	2	2	1	6	99999	1	3
2,438	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	20	1	4	2	1	1-09 SANTA ANA	1	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	1	2	1	6	99999	1	2
1,079	9	1	99999	2	1	99999	2	1	1	1	1	2	2	2	32	1	3	4	6	6-01 PUNTARENAS	2	1	2	2	2	2	2	1	4	1	99999	99999	99999	2	1	2	6	99999	2	2
,881	2	1	99999	1	2	1	2	1	1	1	1	2	1	1	34	1	3	1	7	7-02 POCOCI	2	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	1	2	2	6	99999	2	2
5,756	1	1	99999	2	1	99999	1	2	2	99999	99999	99999	3	1	21	1	2	3	6	6-07 GOLFITO	2	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	6	99999	1	1
,389	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	47	1	5	1	1	1-01 SAN JOSE	2	1	1	1	2	2	1	1	3	1	99999	99999	99999	1	1	1	6	99999	2	3
,424	5	1	99999	2	1	2	1	2	1	1	1	2	2	2	43	1	5	1	1	1-19 PEREZ ZELEDON	1	1	1	1	2	2	1	1	5	1	99999	99999	99999	2	1	2	6	99999	2	3
1,006	4	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	55	1	4	5	4	4-03 SANTO DOMINGO	1	1	1	1	2	2	1	1	5	1	99999	99999	99999	2	1	2	6	99999	3	2
,505	9	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	29	1	5	1	3	3-06 ALVARADO	2	1	2	1	2	2	1	1	5	2	1	99999	99999	2	2	1	6	99999	1	3
,389	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	32	1	5	1	2	2-12 VALVERDE VEGA	2	1	1	1	2	1	1	1	5	2	1	99999	99999	1	1	1	6	99999	2	3
,424	7	1	99999	2	1	2	2	2	99999	99999	99999	99999	4	2	35	1	5	4	1	1-08 GOICOECHEA	1	1	1	1	2	2	2	2	99999	99999	99999	99999	99999	2	2	1	6	99999	2	3
,424	5	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	30	1	5	4	1	1-19 PEREZ ZELEDON	2	1	1	1	2	2	2	1	1	1	99999	99999	99999	1	1	2	7	99999	2	3
,399	5	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	54	1	5	1	1	1-11 CORONADO	1	1	1	1	1	1	1	1	1	1	99999	99999	99999	2	2	1	7	99999	3	3
1,006	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	72	1	4	5	2	2-01 ALAJUELA	1	1	1	2	2	2	1	1	1	1	99999	99999	99999	2	2	1	7	99999	3	2
,881	6	2	6	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	34	2	4	1	7	7-01 LIMON	2	1	1	2	2	2	2	2	99999	99999	99999	99999	99999	2	2	1	7	99999	2	2
,424	3	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	38	1	5	2	4	4-08 FLORES	2	1	1	1	1	1	1	1	1	1	99999	99999	99999	1	1	1	7	99999	2	3
,881	6	2	6	99999	99999	99999	99999	99999	99999	99999	99999	99999	5	1	39	1	4	1	2	2-01 ALAJUELA	2	1	2	2	2	2	2	1	6	2	1	99999	99999	1	1	1	7	99999	2	2
,393	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	50	1	5	1	1	1-14 MORAVIA	1	1	1	1	2	2	1	1	5	2	1	99999	99999	1	1	1	7	99999	3	3
1,821	1	1	99999	1	2	1	1	1	1	1	1	2	1	2	46	1	2	1	6	6-07 GOLFITO	1	1	2	1	2	2	1	1	1	1	99999	99999	99999	1	1	1	7	99999	2	1
,399	99	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	77	1	5	5	3	3-02 PARAISO	1	1	1	1	1	1	1	2	99999	99999	99999	99999	99999	1	2	2	7	99999	3	3
,389	7	1	99999	2	1	2	2	2	1	1	2	2	4	1	47	1	5	4	2	2-06 NARANJO	1	1	1	1	2	2	2	1	5	1	99999	99999	99999	2	9	1	7	99999	2	3
1,593	5	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	19	1	3	3	1	1-19 PEREZ ZELEDON	2	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	1	2
1,079	2	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	33	1	3	4	2	2-15 GUATUSO	2	1	1	1	2	2	2	1	5	1	99999	99999	99999	1	2	1	7	99999	2	2
,389	2	1	99999	1	1	2	99999	99999	1	1	1	2	2	1	30	1	5	3	1	1-01 SAN JOSE	2	1	2	1	2	2	2	1	3	1	99999	99999	99999	1	1	1	7	99999	2	3
,505	6	1	99999	2	1	1	2	2	99999	99999	99999	99999	3	2	20	1	5	3	3	3-05 TURRIALBA	1	1	2	1	2	2	1	1	3	1	99999	99999	99999	1	1	1	7	99999	1	3
,505	3	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	24	1	5	1	4	4-01 HEREDIA	1	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	2	1	2	7	99999	1	3
2,438	5	1	99999	1	1	2	2	2	1	1	1	2	2	2	27	1	3	3	3	3-01 CARTAGO	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	7	99999	1	2
2,503	8	1	99999	2	1	2	2	1	1	1	2	2	4	1	31	1	2	1	4	4-10 SARAPIQUI	2	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	2	1
1,643	8	1	99999	2	1	1	1	2	2	99999	99999	99999	5	2	54	1	2	6	4	4-09 SAN PABLO	2	1	2	2	2	2	2	1	5	2	1	99999	99999	1	1	1	7	99999	3	1
,608	1	2	7	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	26	1	5	1	3	3-07 OREAMUNO	1	1	1	1	1	1	1	1	5	2	1	99999	99999	2	2	1	7	99999	1	3
1,079	2	1	99999	2	1	1	2	2	1	1	2	2	1	2	45	1	3	4	2	2-01 ALAJUELA	1	1	1	2	1	2	1	2	99999	99999	99999	99999	99999	1	2	1	7	99999	2	2
,881	2	1	99999	2	1	2	99999	2	1	2	2	2	1	1	36	1	3	1	6	6-01 PUNTARENAS	2	1	2	2	2	2	2	1	3	2	1	99999	99999	1	1	2	7	99999	2	2
,505	9	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	26	1	5	1	1	1-11 CORONADO	1	2	1	1	1	2	1	1	4	2	1	99999	99999	2	2	1	7	99999	1	3
,393	5	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	58	1	5	1	2	2-01 ALAJUELA	1	1	1	1	1	1	1	2	99999	99999	99999	99999	99999	1	2	1	7	99999	3	3
,505	3	1	99999	2	1	1	2	1	2	99999	99999	99999	2	2	26	1	5	1	1	1-02 ESCAZU	2	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	7	99999	1	3
,608	3	1	99999	2	1	2	2	1	1	1	1	2	2	1	22	1	5	2	5	5-01 LIBERIA	2	1	2	1	2	2	2	2	99999	99999	99999	99999	99999	2	1	1	7	99999	1	3
,399	3	2	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	66	1	5	5	1	1-13 TIBAS	2	1	2	1	1	1	1	1	3	1	99999	99999	99999	1	1	1	7	99999	3	3
,393	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	57	1	5	4	1	1-02 ESCAZU	1	1	1	1	1	1	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	3	3
,389	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	34	1	5	1	3	3-02 PARAISO	2	1	1	2	1	2	2	1	3	1	99999	99999	99999	1	1	1	7	99999	2	3
2,124	8	1	99999	2	1	2	2	2	2	99999	99999	99999	3	1	62	1	2	1	2	2-01 ALAJUELA	2	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	3	1
1,095	2	2	6	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	70	1	3	5	4	4-09 SAN PABLO	1	2	2	2	2	2	1	1	6	2	2	6	99999	1	1	2	7	99999	3	2
,424	9	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	47	1	5	1	3	3-01 CARTAGO	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	2	3
,505	3	1	99999	2	1	1	1	1	2	99999	99999	99999	4	2	28	1	5	2	6	6-05 OSA	1	1	1	1	2	2	1	1	1	1	99999	99999	99999	1	2	1	7	99999	1	3
,389	1	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	37	1	5	1	1	1-01 SAN JOSE	1	1	1	1	1	1	1	1	4	1	99999	99999	99999	2	1	1	7	99999	2	3
,608	1	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	21	1	5	1	4	4-05 SAN RAFAEL	2	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	1	3
1,095	9	1	99999	2	1	1	2	2	1	2	2	2	2	2	63	1	4	4	4	4-05 SAN RAFAEL	1	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	2
,881	3	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	34	1	3	3	4	4-05 SAN RAFAEL	1	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	2	2
1,079	6	1	99999	2	2	1	1	2	1	1	1	2	1	2	46	1	4	4	3	3-02 PARAISO	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	2	7	99999	2	2
1,821	1	1	99999	1	1	1	2	1	1	2	2	2	2	2	48	1	2	4	2	2-02 SAN RAMON	1	1	2	1	2	2	1	1	5	1	99999	99999	99999	2	1	1	7	99999	2	1
,608	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	1	1	25	1	5	3	4	4-01 HEREDIA	2	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	2	2	2	7	99999	1	3
1,643	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	67	1	2	4	1	1-09 SANTA ANA	1	2	2	2	2	2	1	1	3	1	99999	99999	99999	1	1	1	7	99999	3	1
5,756	6	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	21	1	2	1	5	5-01 LIBERIA	2	1	1	1	2	2	2	2	99999	99999	99999	99999	99999	2	2	1	7	99999	1	1
1,095	1	1	99999	2	1	2	2	2	2	99999	99999	99999	4	2	54	1	3	1	7	7-04 TALAMANCA	2	1	2	1	2	2	1	1	1	9	1	99999	99999	2	2	1	7	99999	3	2
1,006	9	1	99999	2	1	1	2	1	2	99999	99999	99999	4	1	52	1	3	1	7	7-01 LIMON	2	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	2
1,643	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	51	1	2	4	6	6-03 BUENOS AIRES	2	1	2	1	2	2	2	2	99999	99999	99999	99999	99999	2	1	2	7	99999	3	1
1,079	1	1	99999	2	1	1	2	2	2	99999	99999	99999	5	2	31	2	3	3	1	1-03 DESAMPARADOS	2	1	2	2	1	2	1	1	6	9	2	4	99999	2	2	1	7	99999	2	2
1,821	8	1	99999	2	1	1	1	2	2	99999	99999	99999	2	2	44	1	2	4	6	6-05 OSA	2	1	2	2	2	2	1	1	1	1	99999	99999	99999	2	1	2	7	99999	2	1
,424	2	1	99999	2	1	1	2	1	1	1	2	2	3	2	34	1	5	3	5	5-02 NICOYA	1	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	2	3
,505	2	1	99999	2	1	1	2	1	1	2	1	2	3	2	28	1	5	1	2	2-01 ALAJUELA	1	1	2	2	2	2	2	1	3	2	1	99999	99999	2	2	1	7	99999	1	3
1,079	3	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	39	1	4	4	1	1-03 DESAMPARADOS	1	1	2	1	2	2	2	1	6	2	1	99999	99999	2	1	2	7	99999	2	2
,608	2	1	99999	2	1	2	2	2	1	1	1	2	2	1	23	1	5	3	2	2-04 SAN MATEO	2	1	1	1	2	1	1	1	1	1	99999	99999	99999	2	2	1	7	99999	1	3
,389	1	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	43	1	5	1	1	1-03 DESAMPARADOS	1	1	1	1	2	1	1	1	1	1	99999	99999	99999	2	2	1	7	99999	2	3
,393	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	52	1	5	1	2	2-03 GRECIA	1	1	1	1	1	2	1	1	5	2	1	99999	99999	1	2	1	7	99999	3	3
,399	3	2	8	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	55	1	5	1	1	1-11 CORONADO	2	1	2	1	2	2	1	1	3	1	99999	99999	99999	2	2	1	7	99999	3	3
1,643	2	1	99999	2	1	1	2	2	1	1	2	2	2	2	63	1	2	4	1	1-04 PURISCAL	1	1	2	1	2	2	1	1	3	1	99999	99999	99999	2	1	2	7	99999	3	1
,393	3	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	50	1	5	1	1	1-19 PEREZ ZELEDON	1	1	1	1	2	2	1	1	1	1	99999	99999	99999	2	1	2	7	99999	3	3
,881	6	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	39	1	4	1	4	4-03 SANTO DOMINGO	1	1	1	1	1	1	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	2	2
,424	5	1	99999	2	1	1	1	1	2	99999	99999	99999	5	2	42	1	5	1	6	6-09 PARRITA	1	1	1	1	2	2	1	1	4	2	1	99999	99999	2	1	1	7	99999	2	3
,389	9	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	31	1	5	1	4	4-08 FLORES	1	1	1	1	1	2	1	1	4	2	1	99999	99999	2	2	1	7	99999	2	3
,424	7	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	38	1	5	1	2	2-01 ALAJUELA	2	1	1	1	2	2	2	1	3	1	99999	99999	99999	2	1	2	7	99999	2	3
,389	9	1	99999	2	1	2	2	2	1	1	2	2	3	1	46	1	5	8	3	3-05 TURRIALBA	1	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	2	3
,389	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	30	1	5	3	3	3-01 CARTAGO	2	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	2	3
1,079	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	41	1	3	4	2	2-01 ALAJUELA	2	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	2	2
1,593	3	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	23	1	3	2	3	3-07 OREAMUNO	1	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	7	99999	1	2
,393	4	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	63	8	5	8	6	6-09 PARRITA	2	1	1	1	1	1	1	1	6	1	99999	99999	99999	2	2	1	7	99999	3	3
1,006	9	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	66	1	4	5	6	6-02 ESPARZA	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	3	2
,608	9	1	99999	2	1	2	2	2	1	1	2	1	2	1	28	1	5	1	1	1-19 PEREZ ZELEDON	2	1	1	2	2	2	2	1	4	2	1	99999	99999	2	1	1	7	99999	1	3
2,503	3	1	99999	2	1	1	2	2	1	1	1	2	2	1	34	1	2	1	6	6-09 PARRITA	1	1	1	1	2	2	1	1	4	1	99999	99999	99999	1	1	1	7	99999	2	1
,608	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	20	1	5	3	7	7-01 LIMON	2	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	1	1	2	7	99999	1	3
,424	9	1	99999	1	99999	99999	99999	99999	1	1	99999	1	2	2	42	1	5	1	1	1-13 TIBAS	2	1	1	1	2	1	1	1	1	1	99999	99999	99999	9	9	1	7	99999	2	3
1,006	4	2	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	52	1	3	1	1	1-04 PURISCAL	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	7	99999	3	2
2,124	3	1	99999	2	1	1	2	1	2	99999	99999	99999	3	1	55	1	2	1	1	1-01 SAN JOSE	2	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	3	1
2,124	1	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	1	1	78	1	2	1	3	3-01 CARTAGO	2	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	1
1,095	5	1	99999	2	1	2	1	1	2	99999	99999	99999	3	2	61	1	3	4	6	6-10 CORREDORES	1	1	2	2	2	2	1	2	99999	99999	99999	99999	99999	2	2	1	7	99999	3	2
1,095	2	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	2	73	1	4	5	1	1-01 SAN JOSE	1	2	2	1	2	2	1	2	99999	99999	99999	99999	99999	1	2	1	7	99999	3	2
,608	4	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	19	1	5	2	3	3-01 CARTAGO	1	1	1	1	1	2	1	1	3	1	99999	99999	99999	2	1	2	7	99999	1	3
1,593	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	18	1	4	3	4	4-04 SANTA BARBARA	2	1	2	1	1	2	1	2	99999	99999	99999	99999	99999	2	2	2	7	99999	1	2
,505	6	2	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	24	1	5	2	1	1-13 TIBAS	1	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	1	3
,389	3	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	1	47	1	5	1	1	1-18 CURRIDABAT	2	1	1	1	1	1	2	1	1	2	1	99999	99999	2	2	1	7	99999	2	3
,424	9	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	41	1	5	4	5	5-11 HOJANCHA	2	1	1	1	1	1	1	1	5	1	99999	99999	99999	2	1	1	7	99999	2	3
,881	3	1	99999	2	1	1	2	1	1	1	1	1	2	1	48	1	3	1	1	1-03 DESAMPARADOS	2	1	2	2	2	2	1	1	6	9	2	5	99999	1	1	1	7	99999	2	2
1,006	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	52	1	3	1	3	3-05 TURRIALBA	1	1	1	2	2	2	1	2	99999	99999	99999	99999	99999	1	1	1	7	99999	3	2
,399	3	1	99999	1	2	1	2	1	1	2	1	1	2	1	63	1	5	1	5	5-01 LIBERIA	1	1	1	1	2	2	1	1	3	1	99999	99999	99999	2	1	2	7	99999	3	3
,424	3	2	3	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	42	1	5	1	1	1-01 SAN JOSE	1	1	1	1	1	1	2	1	5	1	99999	99999	99999	2	2	1	7	99999	2	3
1,821	9	1	99999	2	1	99999	2	1	1	1	1	1	2	2	47	1	2	4	6	6-04 MONTES DE ORO	2	1	2	2	1	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	2	1
2,124	3	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	69	1	2	5	3	3-05 TURRIALBA	2	1	1	2	2	2	1	1	1	1	99999	99999	99999	1	1	2	7	99999	3	1
,505	2	1	99999	1	1	1	2	2	1	1	2	2	2	2	22	1	5	3	5	5-02 NICOYA	2	1	1	1	2	2	2	2	99999	99999	99999	99999	99999	2	1	2	7	99999	1	3
1,006	6	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	51	1	3	1	2	2-11 ALFARO RUIZ	1	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	3	2
,505	5	1	99999	2	1	2	2	99999	1	1	99999	2	2	2	22	1	5	1	2	2-12 VALVERDE VEGA	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	1	3
1,643	88	1	99999	2	1	1	1	2	2	99999	99999	99999	4	2	61	1	1	1	4	4-10 SARAPIQUI	1	1	2	2	2	2	1	1	3	2	9	9	2	1	1	1	7	99999	3	1
,608	3	2	8	99999	99999	99999	99999	99999	99999	99999	99999	99999	3	1	22	1	5	2	2	2-10 SAN CARLOS	2	1	2	1	2	2	1	2	99999	99999	99999	99999	99999	2	2	2	7	99999	1	3
1,821	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	36	1	2	1	1	1-03 DESAMPARADOS	1	1	1	1	2	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	2	1
2,503	2	2	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	1	48	1	2	1	6	6-03 BUENOS AIRES	2	1	2	2	2	2	2	2	99999	99999	99999	99999	99999	1	1	1	7	99999	2	1
,505	3	2	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	2	2	18	1	5	2	2	2-07 PALMARES	2	1	2	2	1	2	1	2	99999	99999	99999	99999	99999	2	1	1	7	99999	1	3
1,095	3	2	4	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	52	1	4	4	1	1-01 SAN JOSE	2	1	1	1	2	2	1	1	1	1	99999	99999	99999	1	2	1	7	99999	3	2
,881	7	1	99999	2	1	1	1	2	2	99999	99999	99999	5	1	33	1	4	3	1	1-08 GOICOECHEA	1	1	1	1	2	2	1	1	5	2	1	99999	99999	2	2	1	7	99999	2	2
,399	2	2	1	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	1	53	1	5	1	1	1-14 MORAVIA	1	1	1	1	1	2	1	2	99999	99999	99999	99999	99999	2	2	1	7	99999	3	3
,424	3	2	6	99999	99999	99999	99999	99999	99999	99999	99999	99999	4	2	33	1	5	1	1	1-19 PEREZ ZELEDON	1	1	1	1	2	1	1	2	99999	99999	99999	99999	99999	2	2	1	7	99999	2	3
1,593	6	1	99999	2	1	2	2	1	1	1	2	2	1	1	18	1	4	6	6	6-08 COTO BRUS	2	1	2	2	2	2	1	1	5	1	99999	99999	99999	1	2	2	7	99999	1	2
,424	6	2	6	99999	99999	99999	99999	99999	99999	99999	99999	99999	9	2	44	1	5	1	1	1-14 MORAVIA	2	1	1	2	1	1	2	1	1	1	99999	99999	99999	2	2	1	7	99999	2	3
